KostenstellenID,KontoID,Periode,Betrag_Plan
K200,A30,2026-10,11307.32
K200,A30,2026-11,10742.01
K200,A30,2026-12,11463.11
K200,A50,2026-01,1927.91
K200,A50,2026-02,1859.24
K200,A50,2026-03,1870.32
K200,A50,2026-04,1868.6
K200,A50,2026-05,1898.45
K200,A50,2026-06,1888.51
K200,A50,2026-07,1970.57
K200,A50,2026-08,1812.54
K200,A50,2026-09,1858.57
K200,A50,2026-10,1844.37
K200,A50,2026-11,1806.51
K200,A50,2026-12,1944.41
K200,A60,2026-01,1303.44
K200,A60,2026-02,1340.29
K200,A60,2026-03,1311.09
K200,A60,2026-04,1406.29
K200,A60,2026-05,1354.03
K200,A60,2026-06,1356.22
K200,A60,2026-07,1380.46
K200,A60,2026-08,1323.31
K200,A60,2026-09,1278.35
K200,A60,2026-10,1396.47
K200,A60,2026-11,1375.26
K200,A60,2026-12,1339.12
K300,A10,2026-01,18388.81
K300,A10,2026-02,18496.88
K300,A10,2026-03,19364.58
K300,A10,2026-04,18025.29
K300,A10,2026-05,19078.89
K300,A10,2026-06,18281.0
K300,A10,2026-07,18905.08
K300,A10,2026-08,18337.05
K300,A10,2026-09,19261.25
K300,A10,2026-10,19253.21
K300,A10,2026-11,18421.38
K300,A10,2026-12,18380.13
K300,A20,2026-01,12300.95
K300,A20,2026-02,12492.96
K300,A20,2026-03,12264.43
K300,A20,2026-04,13385.37
K300,A20,2026-05,12458.64
K300,A20,2026-06,12897.95
K300,A20,2026-07,12970.82
K300,A20,2026-08,12265.69
K300,A20,2026-09,12531.7
K300,A20,2026-10,13178.74
K300,A20,2026-11,12867.12
K300,A20,2026-12,12382.08
K300,A50,2026-01,3700.16
K300,A50,2026-02,3615.75
K300,A50,2026-03,3595.16
K300,A50,2026-04,3802.88
K300,A50,2026-05,3831.28
K300,A50,2026-06,3824.97
K300,A50,2026-07,3739.51
K300,A50,2026-08,3709.87
K300,A50,2026-09,3599.24
K300,A50,2026-10,3911.82
K300,A50,2026-11,3759.75
K300,A50,2026-12,3872.22
K300,A60,2026-01,527.02
K300,A60,2026-02,542.61
K300,A60,2026-03,550.94
K300,A60,2026-04,541.56
K300,A60,2026-05,550.68
K300,A60,2026-06,553.53
K300,A60,2026-07,544.22
K300,A60,2026-08,541.93
K300,A60,2026-09,552.21
K300,A60,2026-10,579.66
K300,A60,2026-11,566.61
K300,A60,2026-12,579.66
K400,A10,2026-01,24456.08
K400,A10,2026-02,22433.2
K400,A10,2026-03,23158.25
K400,A10,2026-04,24026.5
K400,A10,2026-05,24191.99
K400,A10,2026-06,24274.01
K400,A10,2026-07,24352.27
K400,A10,2026-08,23977.06
K400,A10,2026-09,23821.97
K400,A10,2026-10,22885.75
K400,A10,2026-11,23163.09
K400,A10,2026-12,22384.72
K400,A20,2026-01,22210.83
K400,A20,2026-02,23192.05
K400,A20,2026-03,23290.22
K400,A20,2026-04,22201.21
K400,A20,2026-05,22032.93
K400,A20,2026-06,22065.13
K400,A20,2026-07,22844.13
K400,A20,2026-08,21670.91
K400,A20,2026-09,22700.72
K400,A20,2026-10,22623.76
K400,A20,2026-11,21475.6
K400,A20,2026-12,21477.27
K400,A50,2026-01,4082.85
K400,A50,2026-02,4072.48
K400,A50,2026-03,4094.57
K400,A50,2026-04,4067.12
K400,A50,2026-05,3858.24
K400,A50,2026-06,3764.52
K400,A50,2026-07,4080.23
K400,A50,2026-08,3772.55
K400,A50,2026-09,3808.24
K400,A50,2026-10,4013.47
K400,A50,2026-11,3929.86
K400,A50,2026-12,4111.0
K400,A60,2026-01,911.7
K400,A60,2026-02,954.01
K400,A60,2026-03,916.75
K400,A60,2026-04,914.16
K400,A60,2026-05,894.1
K400,A60,2026-06,917.42
K400,A60,2026-07,927.54
K400,A60,2026-08,963.62
K400,A60,2026-09,967.04
K400,A60,2026-10,914.68
K400,A60,2026-11,973.56
K400,A60,2026-12,979.43
K500,A10,2026-01,32717.67
K500,A10,2026-02,35587.46
K500,A10,2026-03,34904.07
K500,A10,2026-04,33617.91
K500,A10,2026-05,33661.83
K500,A10,2026-06,32442.32
K500,A10,2026-07,34739.58
K500,A10,2026-08,34203.38
K500,A10,2026-09,35177.08
K500,A10,2026-10,34250.67
K500,A10,2026-11,35087.79
K500,A10,2026-12,34951.97
K500,A20,2026-01,26914.83
K500,A20,2026-02,26484.68
K500,A20,2026-03,25978.63
K500,A20,2026-04,27025.09
K500,A20,2026-05,25472.11
K500,A20,2026-06,26464.1
K500,A20,2026-07,26225.39
K500,A20,2026-08,24810.83
K500,A20,2026-09,25876.98
K500,A20,2026-10,24658.47
K500,A20,2026-11,26489.2
K500,A20,2026-12,26444.95
K500,A40,2026-01,825.62
K500,A40,2026-02,783.23
K500,A40,2026-03,827.01
K500,A40,2026-04,859.06
K500,A40,2026-05,849.07
K500,A40,2026-06,840.97
K500,A40,2026-07,831.73
K500,A40,2026-08,808.57
K500,A40,2026-09,791.78
K500,A40,2026-10,820.31
K500,A40,2026-11,860.73
K500,A40,2026-12,816.05
K500,A50,2026-01,4907.91
K500,A50,2026-02,5296.22
K500,A50,2026-03,5129.81
K500,A50,2026-04,5204.02
K500,A50,2026-05,4922.93
K500,A50,2026-06,4958.33
K500,A50,2026-07,4951.25
K500,A50,2026-08,5217.89
K500,A50,2026-09,5217.63
K500,A50,2026-10,4942.38
K500,A50,2026-11,5028.57
K500,A50,2026-12,5294.82
K500,A60,2026-01,1804.92
K500,A60,2026-02,1837.87
K500,A60,2026-03,1961.59
K500,A60,2026-04,1865.32
K500,A60,2026-05,1830.72
K500,A60,2026-06,1870.55
K500,A60,2026-07,1950.1
K500,A60,2026-08,1972.88
K500,A60,2026-09,1896.83
K500,A60,2026-10,1953.41
K500,A60,2026-11,1906.62
K500,A60,2026-12,1853.19
K600,A10,2026-01,26076.77
K600,A10,2026-02,26955.4
K600,A10,2026-03,26437.87
K600,A10,2026-04,27594.46
K600,A10,2026-05,28321.53
K600,A10,2026-06,27102.78
K600,A10,2026-07,26413.72
K600,A10,2026-08,26158.69
K600,A10,2026-09,25872.11
K600,A10,2026-10,26619.3
K600,A10,2026-11,27633.64
K600,A10,2026-12,27965.43
K600,A50,2026-01,2099.25
K600,A50,2026-02,2263.12
K600,A50,2026-03,2251.39
K600,A50,2026-04,2164.14
K600,A50,2026-05,2268.18
K600,A50,2026-06,2263.69
K600,A50,2026-07,2307.25
K600,A50,2026-08,2168.2
K600,A50,2026-09,2185.79
K600,A50,2026-10,2198.82
K600,A50,2026-11,2222.19
K600,A50,2026-12,2154.71
K600,A60,2026-01,2401.66
K600,A60,2026-02,2530.33
K600,A60,2026-03,2391.78
K600,A60,2026-04,2328.18
K600,A60,2026-05,2481.67
K600,A60,2026-06,2330.75
K600,A60,2026-07,2432.27
K600,A60,2026-08,2525.62
K600,A60,2026-09,2387.14
K600,A60,2026-10,2345.51
K600,A60,2026-11,2402.85
K600,A60,2026-12,2454.95
K700,A10,2026-01,27661.8
K700,A10,2026-02,27111.77
K700,A10,2026-03,26374.92
K700,A10,2026-04,27910.61
K700,A10,2026-05,27680.93
K700,A10,2026-06,28367.64
K700,A10,2026-07,26081.28
K700,A10,2026-08,28200.59
K700,A10,2026-09,26557.46
K700,A10,2026-10,28157.83
K700,A10,2026-11,26477.08
K700,A10,2026-12,28284.28
K700,A20,2026-01,9619.94
K700,A20,2026-02,10179.96
K700,A20,2026-03,9946.12
K700,A20,2026-04,9955.69
K700,A20,2026-05,9858.99
K700,A20,2026-06,10055.45
K700,A20,2026-07,9806.94
K700,A20,2026-08,10487.59
K700,A20,2026-09,10475.91
K700,A20,2026-10,10038.67
K700,A20,2026-11,9628.8
K700,A20,2026-12,9587.24
K700,A40,2026-01,1054.93
K700,A40,2026-02,1134.73
K700,A40,2026-03,1116.35
K700,A40,2026-04,1138.83
K700,A40,2026-05,1095.42
K700,A40,2026-06,1110.5
K700,A40,2026-07,1133.19
K700,A40,2026-08,1157.35
K700,A40,2026-09,1119.89
K700,A40,2026-10,1144.52
K700,A40,2026-11,1088.15
K700,A40,2026-12,1083.48
K700,A50,2026-01,5138.64
K700,A50,2026-02,5352.29
K700,A50,2026-03,5214.73
K700,A50,2026-04,5459.84
K700,A50,2026-05,5323.65
K700,A50,2026-06,5292.29
K700,A50,2026-07,5475.08
K700,A50,2026-08,5206.65
K700,A50,2026-09,5414.81
K700,A50,2026-10,5193.35
K700,A50,2026-11,5202.38
K700,A50,2026-12,5396.6
K700,A60,2026-01,1668.37
K700,A60,2026-02,1722.28
K700,A60,2026-03,1678.48
K700,A60,2026-04,1789.05
K700,A60,2026-05,1676.92
K700,A60,2026-06,1661.73
K700,A60,2026-07,1693.43
K700,A60,2026-08,1756.62
K700,A60,2026-09,1719.06
K700,A60,2026-10,1711.6
K700,A60,2026-11,1701.99
K700,A60,2026-12,1746.91
K800,A10,2026-01,39144.29
K800,A10,2026-02,41209.66
K800,A10,2026-03,40465.97
K800,A10,2026-04,41526.72
K800,A10,2026-05,41599.18
K800,A10,2026-06,38050.05
K800,A10,2026-07,41476.11
K800,A10,2026-08,39265.39
K800,A10,2026-09,39613.31
K800,A10,2026-10,40816.52
K800,A10,2026-11,40510.09
K800,A10,2026-12,39904.57
K800,A40,2026-01,3041.76
K800,A40,2026-02,3116.91
K800,A40,2026-03,3120.54
K800,A40,2026-04,3189.31
K800,A40,2026-05,3234.35
K800,A40,2026-06,3148.05
K800,A40,2026-07,2988.33
K800,A40,2026-08,3285.11
K800,A40,2026-09,3096.15
K800,A40,2026-10,3289.66
K800,A40,2026-11,3240.11
K800,A40,2026-12,3111.35
K800,A50,2026-01,3852.83
K800,A50,2026-02,3881.43
K800,A50,2026-03,3743.71
K800,A50,2026-04,3813.14
K800,A50,2026-05,3772.21
K800,A50,2026-06,3942.81
K800,A50,2026-07,4103.08
K800,A50,2026-08,4088.53
K800,A50,2026-09,3884.54
K800,A50,2026-10,3842.1
K800,A50,2026-11,3789.33
K800,A50,2026-12,3835.05
K800,A60,2026-01,2560.66
K800,A60,2026-02,2386.3
K800,A60,2026-03,2346.54
K800,A60,2026-04,2416.18
K800,A60,2026-05,2369.95
K800,A60,2026-06,2375.73
K800,A60,2026-07,2547.61
K800,A60,2026-08,2458.97
K800,A60,2026-09,2399.37
K800,A60,2026-10,2438.77
K800,A60,2026-11,2425.18
K800,A60,2026-12,2327.89
