BuchungsID,KostenstellenID,KontoID,Datum,Betrag_Ist,Buchungstext
B00061,K100,A40,2026-09-21,619.92,Hotel Uebernachtung
B00062,K100,A40,2026-09-27,398.76,Reisekosten Kundenbesuch
B00063,K100,A40,2026-10-06,1902.4,Bahnticket
B00064,K100,A40,2026-11-29,867.36,Reisekosten Kundenbesuch
B00065,K100,A40,2026-11-06,648.32,Bahnticket
B00066,K100,A40,2026-12-10,1266.85,Bahnticket
B00067,K100,A40,2026-12-23,245.95,Hotel Uebernachtung
B00068,K100,A50,2026-01-05,2480.84,Softwarelizenz
B00069,K100,A50,2026-01-10,118.61,Softwarelizenz
B00070,K100,A50,2026-02-02,1873.06,IT-Support extern
B00071,K100,A50,2026-02-11,639.38,Softwarelizenz
B00072,K100,A50,2026-02-02,95.74,IT-Support extern
B00073,K100,A50,2026-03-06,5.11,Softwarelizenz
B00074,K100,A50,2026-03-31,1560.15,IT-Support extern
B00075,K100,A50,2026-03-03,1132.88,Softwarelizenz
B00076,K100,A50,2026-04-13,2077.65,Softwarelizenz
B00077,K100,A50,2026-05-20,1918.05,Softwarelizenz
B00078,K100,A50,2026-05-20,100.02,Softwarelizenz
B00079,K100,A50,2026-05-14,577.14,IT-Support extern
B00080,K100,A50,2026-06-07,144.43,IT-Support extern
B00081,K100,A50,2026-06-23,2332.21,Cloud-Hosting
B00082,K100,A50,2026-07-15,1639.65,Cloud-Hosting
B00083,K100,A50,2026-07-30,674.83,Softwarelizenz
B00084,K100,A50,2026-08-04,189.09,Softwarelizenz
B00085,K100,A50,2026-08-18,1072.55,Softwarelizenz
B00086,K100,A50,2026-08-17,1132.52,Cloud-Hosting
B00087,K100,A50,2026-09-29,2261.03,Softwarelizenz
B00088,K100,A50,2026-10-23,581.62,Cloud-Hosting
B00089,K100,A50,2026-10-20,1250.62,IT-Support extern
B00090,K100,A50,2026-10-17,366.24,Softwarelizenz
B00091,K100,A50,2026-11-29,2517.59,Softwarelizenz
B00092,K100,A50,2026-12-05,935.07,Cloud-Hosting
B00093,K100,A50,2026-12-10,1070.76,IT-Support extern
B00094,K100,A50,2026-12-07,616.75,IT-Support extern
B00095,K100,A60,2026-01-17,1357.41,Kleinanschaffung
B00096,K100,A60,2026-01-09,627.01,Buerobedarf
B00097,K100,A60,2026-02-02,1031.3,Buerobedarf
B00098,K100,A60,2026-02-11,777.74,Buerobedarf
B00099,K100,A60,2026-03-18,336.94,Sonstiges
B00100,K100,A60,2026-03-14,1494.03,Sonstiges
B00101,K100,A60,2026-04-18,1630.06,Buerobedarf
B00102,K100,A60,2026-05-14,2030.04,Buerobedarf
B00103,K100,A60,2026-06-29,1771.79,Kleinanschaffung
B00104,K100,A60,2026-07-12,1747.89,Sonstiges
B00105,K100,A60,2026-08-24,1452.44,Buerobedarf
B00106,K100,A60,2026-08-30,174.9,Buerobedarf
B00107,K100,A60,2026-08-28,322.22,Buerobedarf
B00108,K100,A60,2026-09-01,1837.02,Buerobedarf
B00109,K100,A60,2026-09-24,338.79,Kleinanschaffung
B00110,K100,A60,2026-10-09,1933.17,Buerobedarf
B00111,K100,A60,2026-11-28,1780.04,Kleinanschaffung
B00112,K100,A60,2026-12-12,125.58,Kleinanschaffung
B00113,K100,A60,2026-12-27,1896.46,Buerobedarf
B00114,K200,A10,2026-01-11,22262.75,Lohnnebenkosten
B00115,K200,A10,2026-01-28,13532.44,Gehaltslauf
B00116,K200,A10,2026-02-13,18434.65,Freelancer-Honorar
B00117,K200,A10,2026-02-27,14628.69,Freelancer-Honorar
B00118,K200,A10,2026-02-11,1855.54,Gehaltslauf
B00119,K200,A10,2026-03-19,38105.2,Lohnnebenkosten
B00120,K200,A10,2026-04-24,11060.07,Lohnnebenkosten
B00121,K200,A10,2026-04-14,23506.37,Freelancer-Honorar
B00122,K200,A10,2026-05-07,27383.77,Lohnnebenkosten
B00123,K200,A10,2026-05-02,4628.75,Freelancer-Honorar
B00124,K200,A10,2026-05-14,1410.07,Gehaltslauf
B00125,K200,A10,2026-06-12,38219.45,Lohnnebenkosten
B00126,K200,A10,2026-07-20,8689.79,Lohnnebenkosten
B00127,K200,A10,2026-07-22,26578.79,Gehaltslauf
B00128,K200,A10,2026-08-22,34169.92,Lohnnebenkosten
B00129,K200,A10,2026-08-11,120.92,Lohnnebenkosten
B00130,K200,A10,2026-09-14,36564.65,Freelancer-Honorar
B00131,K200,A10,2026-10-20,38600.09,Freelancer-Honorar
B00132,K200,A10,2026-11-10,35086.22,Lohnnebenkosten
B00133,K200,A10,2026-12-21,1382.93,Lohnnebenkosten
B00134,K200,A10,2026-12-15,4461.45,Lohnnebenkosten
B00135,K200,A10,2026-12-15,31010.91,Freelancer-Honorar
B00136,K200,A30,2026-01-22,10374.17,Kampagnenkosten Social Media
B00137,K200,A30,2026-02-11,3344.8,Kampagnenkosten Social Media
B00138,K200,A30,2026-02-27,5551.8,Kampagnenkosten Social Media
B00139,K200,A30,2026-02-22,2066.8,Druckkosten Flyer
B00140,K200,A30,2026-03-02,9650.99,Kampagnenkosten Social Media
B00141,K200,A30,2026-04-15,11595.97,Druckkosten Flyer
B00142,K200,A30,2026-05-16,3377.85,Druckkosten Flyer
B00143,K200,A30,2026-05-08,8007.99,Kampagnenkosten Social Media
B00144,K200,A30,2026-06-25,9537.01,Druckkosten Flyer
B00145,K200,A30,2026-07-15,2875.97,Kampagnenkosten Social Media
B00146,K200,A30,2026-07-18,322.42,Kampagnenkosten Social Media
B00147,K200,A30,2026-07-30,8068.1,Kampagnenkosten Social Media
B00148,K200,A30,2026-08-18,7474.16,Messeauftritt
B00149,K200,A30,2026-08-11,565.51,Druckkosten Flyer
B00150,K200,A30,2026-08-20,3494.9,Messeauftritt
B00151,K200,A30,2026-09-15,9291.51,Kampagnenkosten Social Media
B00152,K200,A30,2026-09-24,1065.18,Druckkosten Flyer
B00153,K200,A30,2026-09-15,608.83,Druckkosten Flyer
B00154,K200,A30,2026-10-25,1638.92,Messeauftritt
B00155,K200,A30,2026-10-16,10346.45,Messeauftritt
B00156,K200,A30,2026-11-08,748.39,Druckkosten Flyer
B00157,K200,A30,2026-11-11,3011.31,Druckkosten Flyer
B00158,K200,A30,2026-12-08,4585.24,Druckkosten Flyer
B00159,K200,A50,2026-01-14,1979.2,Cloud-Hosting
B00160,K200,A50,2026-02-07,1796.92,Cloud-Hosting
B00161,K200,A50,2026-03-28,1949.71,IT-Support extern
B00162,K200,A50,2026-04-10,794.21,Cloud-Hosting
B00163,K200,A50,2026-04-28,796.86,Cloud-Hosting
B00164,K200,A50,2026-05-29,564.92,Softwarelizenz
B00165,K200,A50,2026-05-16,69.66,Softwarelizenz
B00166,K200,A50,2026-05-09,1327.77,Cloud-Hosting
B00167,K200,A50,2026-06-24,1166.36,Softwarelizenz
B00168,K200,A50,2026-06-27,622.46,Cloud-Hosting
B00169,K200,A50,2026-07-01,43.46,Cloud-Hosting
B00170,K200,A50,2026-07-19,933.07,IT-Support extern
B00171,K200,A50,2026-07-22,1181.6,Softwarelizenz
B00172,K200,A50,2026-08-06,39.52,Softwarelizenz
B00173,K200,A50,2026-08-09,1695.36,Cloud-Hosting
B00174,K200,A50,2026-09-25,355.77,Cloud-Hosting
B00175,K200,A50,2026-09-09,1435.29,Cloud-Hosting
B00176,K200,A50,2026-10-24,1605.48,IT-Support extern
B00177,K200,A50,2026-11-21,1965.45,Softwarelizenz
B00178,K200,A50,2026-12-31,1969.57,Softwarelizenz
B00179,K200,A60,2026-01-08,1114.57,Buerobedarf
B00180,K200,A60,2026-02-15,1177.58,Sonstiges
B00181,K200,A60,2026-03-20,164.96,Sonstiges
B00182,K200,A60,2026-03-23,47.63,Buerobedarf
B00183,K200,A60,2026-03-25,1022.75,Buerobedarf
B00184,K200,A60,2026-04-30,1233.35,Kleinanschaffung
B00185,K200,A60,2026-05-13,315.92,Sonstiges
B00186,K200,A60,2026-05-07,1142.38,Buerobedarf
B00187,K200,A60,2026-06-04,1434.4,Sonstiges
B00188,K200,A60,2026-07-26,645.38,Buerobedarf
B00189,K200,A60,2026-07-26,600.89,Sonstiges
B00190,K200,A60,2026-07-26,220.57,Buerobedarf
B00191,K200,A60,2026-08-03,52.16,Sonstiges
B00192,K200,A60,2026-08-21,1214.37,Kleinanschaffung
B00193,K200,A60,2026-09-04,850.96,Kleinanschaffung
B00194,K200,A60,2026-09-12,369.88,Sonstiges
B00195,K200,A60,2026-10-14,1347.5,Buerobedarf
B00196,K200,A60,2026-11-20,373.97,Sonstiges
B00197,K200,A60,2026-11-25,1126.94,Kleinanschaffung
B00198,K200,A60,2026-12-09,538.99,Kleinanschaffung
B00199,K200,A60,2026-12-28,516.96,Buerobedarf
B00200,K200,A60,2026-12-27,358.74,Buerobedarf
B00201,K300,A10,2026-01-19,16307.71,Freelancer-Honorar
B00202,K300,A10,2026-01-22,1395.21,Lohnnebenkosten
B00203,K300,A10,2026-02-06,1288.17,Lohnnebenkosten
B00204,K300,A10,2026-02-07,16719.96,Lohnnebenkosten
B00205,K300,A10,2026-03-23,16100.57,Lohnnebenkosten
B00206,K300,A10,2026-03-18,159.53,Gehaltslauf
B00207,K300,A10,2026-03-17,1847.42,Gehaltslauf
B00208,K300,A10,2026-04-18,18480.29,Gehaltslauf
B00209,K300,A10,2026-04-23,86.1,Lohnnebenkosten
B00210,K300,A10,2026-05-03,18558.14,Lohnnebenkosten
B00211,K300,A10,2026-06-22,7541.73,Freelancer-Honorar
B00212,K300,A10,2026-06-12,11158.76,Lohnnebenkosten
B00213,K300,A10,2026-07-11,7309.74,Lohnnebenkosten
B00214,K300,A10,2026-07-23,1758.8,Lohnnebenkosten
B00215,K300,A10,2026-07-09,8625.47,Lohnnebenkosten
B00216,K300,A10,2026-08-11,16139.61,Gehaltslauf
B00217,K300,A10,2026-09-07,20950.84,Gehaltslauf
B00218,K300,A10,2026-10-25,5630.63,Freelancer-Honorar
B00219,K300,A10,2026-10-20,4303.0,Lohnnebenkosten
B00220,K300,A10,2026-10-04,7762.48,Gehaltslauf
B00221,K300,A10,2026-11-01,9709.91,Freelancer-Honorar
B00222,K300,A10,2026-11-18,7610.24,Gehaltslauf
B00223,K300,A10,2026-12-10,2285.7,Freelancer-Honorar
B00224,K300,A10,2026-12-31,10653.05,Gehaltslauf
B00225,K300,A10,2026-12-21,7161.28,Lohnnebenkosten
B00226,K300,A20,2026-01-15,977.19,Verpackungsmaterial
B00227,K300,A20,2026-01-06,12620.28,Rechnung Lieferant Rohstoffe
B00228,K300,A20,2026-02-13,13500.03,Verpackungsmaterial
B00229,K300,A20,2026-03-26,13145.08,Ersatzteile
B00230,K300,A20,2026-04-25,4478.14,Verpackungsmaterial
B00231,K300,A20,2026-04-20,7111.55,Ersatzteile
B00232,K300,A20,2026-04-26,3136.05,Ersatzteile
B00233,K300,A20,2026-05-10,7868.42,Ersatzteile
B00234,K300,A20,2026-05-14,6204.8,Verpackungsmaterial
B00235,K300,A20,2026-06-25,15526.45,Rechnung Lieferant Rohstoffe
B00236,K300,A20,2026-07-06,13954.28,Ersatzteile
B00237,K300,A20,2026-08-16,3282.42,Verpackungsmaterial
B00238,K300,A20,2026-08-02,245.17,Rechnung Lieferant Rohstoffe
B00239,K300,A20,2026-08-10,10327.66,Ersatzteile
B00240,K300,A20,2026-09-30,13463.6,Verpackungsmaterial
B00241,K300,A20,2026-10-14,15290.87,Rechnung Lieferant Rohstoffe
B00242,K300,A20,2026-11-03,15392.48,Rechnung Lieferant Rohstoffe
B00243,K300,A20,2026-12-30,12165.04,Verpackungsmaterial
B00244,K300,A20,2026-12-15,2282.82,Rechnung Lieferant Rohstoffe
B00245,K300,A20,2026-12-15,76.92,Ersatzteile
B00246,K300,A50,2026-01-17,2902.02,IT-Support extern
B00247,K300,A50,2026-01-16,615.46,Cloud-Hosting
B00248,K300,A50,2026-02-24,1574.88,Cloud-Hosting
B00249,K300,A50,2026-02-20,1534.54,Cloud-Hosting
B00250,K300,A50,2026-03-19,2272.09,Softwarelizenz
B00251,K300,A50,2026-03-25,413.3,IT-Support extern
B00252,K300,A50,2026-03-27,576.25,Cloud-Hosting
B00253,K300,A50,2026-04-16,3957.95,IT-Support extern
B00254,K300,A50,2026-05-19,4134.02,Cloud-Hosting
B00255,K300,A50,2026-06-16,3721.43,Cloud-Hosting
B00256,K300,A50,2026-07-28,3478.73,Softwarelizenz
B00257,K300,A50,2026-08-22,2649.84,Cloud-Hosting
B00258,K300,A50,2026-08-27,1146.91,IT-Support extern
B00259,K300,A50,2026-09-11,2799.55,Softwarelizenz
B00260,K300,A50,2026-09-25,339.05,Cloud-Hosting
B00261,K300,A50,2026-10-22,4131.79,IT-Support extern
B00262,K300,A50,2026-11-12,2725.66,IT-Support extern
B00263,K300,A50,2026-11-25,89.22,Cloud-Hosting
B00264,K300,A50,2026-11-21,431.85,Cloud-Hosting
B00265,K300,A50,2026-12-05,1576.85,Cloud-Hosting
B00266,K300,A50,2026-12-15,1014.39,IT-Support extern
B00267,K300,A50,2026-12-16,897.2,Softwarelizenz
B00268,K300,A60,2026-01-23,530.98,Buerobedarf
B00269,K300,A60,2026-02-03,260.13,Buerobedarf
B00270,K300,A60,2026-02-27,202.95,Buerobedarf
B00271,K300,A60,2026-03-16,484.48,Sonstiges
B00272,K300,A60,2026-04-27,250.98,Kleinanschaffung
B00273,K300,A60,2026-04-16,304.85,Buerobedarf
B00274,K300,A60,2026-05-30,487.99,Sonstiges
B00275,K300,A60,2026-06-09,592.18,Kleinanschaffung
B00276,K300,A60,2026-07-27,172.68,Buerobedarf
B00277,K300,A60,2026-07-10,397.08,Sonstiges
B00278,K300,A60,2026-08-28,250.86,Buerobedarf
B00279,K300,A60,2026-08-15,289.3,Sonstiges
B00280,K300,A60,2026-09-13,194.51,Kleinanschaffung
B00281,K300,A60,2026-09-30,270.26,Kleinanschaffung
B00282,K300,A60,2026-09-28,50.5,Buerobedarf
B00283,K300,A60,2026-10-08,435.95,Kleinanschaffung
B00284,K300,A60,2026-10-02,91.36,Kleinanschaffung
B00285,K300,A60,2026-11-13,557.87,Sonstiges
B00286,K300,A60,2026-11-26,23.65,Sonstiges
B00287,K300,A60,2026-12-05,564.49,Sonstiges
B00288,K400,A10,2026-01-28,22817.49,Lohnnebenkosten
B00289,K400,A10,2026-02-24,24174.25,Gehaltslauf
B00290,K400,A10,2026-03-03,23475.41,Lohnnebenkosten
B00291,K400,A10,2026-04-23,379.17,Lohnnebenkosten
B00292,K400,A10,2026-04-21,465.94,Gehaltslauf
B00293,K400,A10,2026-04-28,21169.3,Lohnnebenkosten
B00294,K400,A10,2026-05-31,19750.66,Lohnnebenkosten
B00295,K400,A10,2026-05-21,6009.83,Freelancer-Honorar
B00296,K400,A10,2026-06-02,7109.27,Freelancer-Honorar
B00297,K400,A10,2026-06-03,14144.83,Gehaltslauf
B00298,K400,A10,2026-06-21,2339.92,Freelancer-Honorar
B00299,K400,A10,2026-07-14,26771.83,Gehaltslauf
B00300,K400,A10,2026-08-15,24599.81,Gehaltslauf
B00301,K400,A10,2026-09-11,25629.01,Gehaltslauf
B00302,K400,A10,2026-10-08,21597.52,Freelancer-Honorar
B00303,K400,A10,2026-11-06,23636.78,Gehaltslauf
B00304,K400,A10,2026-12-22,4019.16,Gehaltslauf
B00305,K400,A10,2026-12-16,5130.08,Freelancer-Honorar
B00306,K400,A10,2026-12-05,14751.14,Gehaltslauf
B00307,K400,A20,2026-01-22,13200.68,Rechnung Lieferant Rohstoffe
B00308,K400,A20,2026-01-29,7088.79,Verpackungsmaterial
B00309,K400,A20,2026-02-03,23642.04,Verpackungsmaterial
B00310,K400,A20,2026-03-21,9027.58,Verpackungsmaterial
B00311,K400,A20,2026-03-23,16519.76,Verpackungsmaterial
B00312,K400,A20,2026-04-28,15634.44,Verpackungsmaterial
B00313,K400,A20,2026-04-04,4913.46,Rechnung Lieferant Rohstoffe
B00314,K400,A20,2026-05-23,13358.97,Verpackungsmaterial
B00315,K400,A20,2026-05-01,7346.25,Ersatzteile
B00316,K400,A20,2026-06-30,18800.03,Ersatzteile
B00317,K400,A20,2026-07-25,17750.17,Rechnung Lieferant Rohstoffe
B00318,K400,A20,2026-07-20,6423.72,Verpackungsmaterial
B00319,K400,A20,2026-08-22,7222.69,Ersatzteile
B00320,K400,A20,2026-08-25,12227.66,Ersatzteile
B00321,K400,A20,2026-09-29,20071.86,Ersatzteile
B00322,K400,A20,2026-10-02,11273.01,Ersatzteile
B00323,K400,A20,2026-10-12,9704.5,Ersatzteile
B00324,K400,A20,2026-11-24,2217.64,Verpackungsmaterial
B00325,K400,A20,2026-11-06,20920.32,Rechnung Lieferant Rohstoffe
B00326,K400,A20,2026-12-17,13190.28,Ersatzteile
B00327,K400,A20,2026-12-30,7961.65,Verpackungsmaterial
B00328,K400,A50,2026-01-31,2369.87,Cloud-Hosting
B00329,K400,A50,2026-01-24,1362.85,Cloud-Hosting
B00330,K400,A50,2026-02-05,3938.43,Softwarelizenz
B00331,K400,A50,2026-03-31,999.69,IT-Support extern
B00332,K400,A50,2026-03-12,3222.03,Softwarelizenz
B00333,K400,A50,2026-04-04,272.07,Cloud-Hosting
B00334,K400,A50,2026-04-12,2315.36,IT-Support extern
B00335,K400,A50,2026-04-24,883.77,IT-Support extern
B00336,K400,A50,2026-05-04,76.75,IT-Support extern
B00337,K400,A50,2026-05-08,3570.27,Cloud-Hosting
B00338,K400,A50,2026-06-11,2499.47,IT-Support extern
B00339,K400,A50,2026-06-08,1320.97,IT-Support extern
B00340,K400,A50,2026-06-03,211.58,IT-Support extern
B00341,K400,A50,2026-07-21,2256.39,Cloud-Hosting
B00342,K400,A50,2026-07-04,2139.43,Softwarelizenz
B00343,K400,A50,2026-08-04,812.24,Softwarelizenz
B00344,K400,A50,2026-08-08,2429.52,IT-Support extern
B00345,K400,A50,2026-09-14,754.11,IT-Support extern
B00346,K400,A50,2026-09-24,1419.28,IT-Support extern
B00347,K400,A50,2026-09-05,1495.52,Cloud-Hosting
B00348,K400,A50,2026-10-14,131.4,Cloud-Hosting
B00349,K400,A50,2026-10-02,1330.28,IT-Support extern
B00350,K400,A50,2026-10-12,2786.27,Softwarelizenz
B00351,K400,A50,2026-11-04,1132.08,IT-Support extern
B00352,K400,A50,2026-11-12,3142.19,IT-Support extern
B00353,K400,A50,2026-12-13,4157.07,Cloud-Hosting
B00354,K400,A60,2026-01-03,568.76,Sonstiges
B00355,K400,A60,2026-01-07,234.03,Sonstiges
B00356,K400,A60,2026-02-26,1042.52,Kleinanschaffung
B00357,K400,A60,2026-03-07,5.83,Buerobedarf
B00358,K400,A60,2026-03-27,191.17,Sonstiges
B00359,K400,A60,2026-03-07,611.1,Sonstiges
B00360,K400,A60,2026-04-25,620.17,Buerobedarf
B00361,K400,A60,2026-04-26,355.62,Sonstiges
B00362,K400,A60,2026-05-05,951.86,Sonstiges
B00363,K400,A60,2026-06-05,819.83,Buerobedarf
B00364,K400,A60,2026-07-11,186.18,Buerobedarf
B00365,K400,A60,2026-07-06,669.88,Kleinanschaffung
B00366,K400,A60,2026-07-02,115.17,Buerobedarf
B00367,K400,A60,2026-08-16,945.81,Kleinanschaffung
B00368,K400,A60,2026-09-15,946.06,Sonstiges
B00369,K400,A60,2026-10-10,505.19,Kleinanschaffung
B00370,K400,A60,2026-10-21,166.66,Buerobedarf
B00371,K400,A60,2026-10-02,246.28,Kleinanschaffung
B00372,K400,A60,2026-11-16,931.28,Sonstiges
B00373,K400,A60,2026-12-11,850.51,Sonstiges
B00374,K500,A10,2026-01-21,20621.35,Freelancer-Honorar
B00375,K500,A10,2026-01-18,1325.54,Freelancer-Honorar
B00376,K500,A10,2026-01-11,6895.3,Lohnnebenkosten
B00377,K500,A10,2026-02-17,34533.28,Freelancer-Honorar
B00378,K500,A10,2026-02-14,436.35,Gehaltslauf
B00379,K500,A10,2026-03-24,24124.45,Gehaltslauf
B00380,K500,A10,2026-03-14,4741.5,Lohnnebenkosten
B00381,K500,A10,2026-03-29,1800.89,Gehaltslauf
B00382,K500,A10,2026-04-14,19405.29,Freelancer-Honorar
B00383,K500,A10,2026-04-04,16123.96,Lohnnebenkosten
B00384,K500,A10,2026-05-31,20952.91,Gehaltslauf
B00385,K500,A10,2026-05-22,13256.84,Lohnnebenkosten
B00386,K500,A10,2026-06-14,34322.12,Gehaltslauf
B00387,K500,A10,2026-07-18,32765.04,Gehaltslauf
B00388,K500,A10,2026-08-22,4177.1,Gehaltslauf
B00389,K500,A10,2026-08-14,29697.81,Lohnnebenkosten
B00390,K500,A10,2026-09-28,9961.74,Freelancer-Honorar
B00391,K500,A10,2026-09-02,28215.32,Lohnnebenkosten
B00392,K500,A10,2026-10-17,6849.97,Gehaltslauf
B00393,K500,A10,2026-10-05,5989.53,Freelancer-Honorar
B00394,K500,A10,2026-10-16,19284.6,Gehaltslauf
B00395,K500,A10,2026-11-12,2719.07,Gehaltslauf
B00396,K500,A10,2026-11-25,17421.93,Lohnnebenkosten
B00397,K500,A10,2026-11-19,12754.8,Gehaltslauf
B00398,K500,A10,2026-12-20,6195.92,Freelancer-Honorar
B00399,K500,A10,2026-12-21,15367.02,Freelancer-Honorar
B00400,K500,A10,2026-12-01,15531.2,Freelancer-Honorar
B00401,K500,A20,2026-01-01,1270.84,Rechnung Lieferant Rohstoffe
B00402,K500,A20,2026-01-09,27187.97,Ersatzteile
B00403,K500,A20,2026-02-01,8201.75,Rechnung Lieferant Rohstoffe
B00404,K500,A20,2026-02-28,20411.88,Rechnung Lieferant Rohstoffe
B00405,K500,A20,2026-03-24,24684.79,Ersatzteile
B00406,K500,A20,2026-04-07,19288.45,Verpackungsmaterial
B00407,K500,A20,2026-04-14,4209.77,Verpackungsmaterial
B00408,K500,A20,2026-04-11,93.05,Rechnung Lieferant Rohstoffe
B00409,K500,A20,2026-05-20,21804.23,Rechnung Lieferant Rohstoffe
B00410,K500,A20,2026-05-29,885.2,Rechnung Lieferant Rohstoffe
B00411,K500,A20,2026-05-05,3557.0,Rechnung Lieferant Rohstoffe
B00412,K500,A20,2026-06-09,22823.71,Verpackungsmaterial
B00413,K500,A20,2026-07-14,19852.54,Verpackungsmaterial
B00414,K500,A20,2026-07-07,5623.2,Ersatzteile
B00415,K500,A20,2026-08-22,14889.52,Ersatzteile
B00416,K500,A20,2026-08-19,8866.31,Verpackungsmaterial
B00417,K500,A20,2026-09-13,23990.67,Ersatzteile
B00418,K500,A20,2026-10-25,22219.89,Rechnung Lieferant Rohstoffe
B00419,K500,A20,2026-11-01,24432.63,Verpackungsmaterial
B00420,K500,A20,2026-12-18,11132.56,Ersatzteile
B00421,K500,A20,2026-12-08,12507.21,Ersatzteile
B00422,K500,A40,2026-01-03,791.13,Bahnticket
B00423,K500,A40,2026-01-28,48.54,Hotel Uebernachtung
B00424,K500,A40,2026-02-28,669.42,Bahnticket
B00425,K500,A40,2026-03-10,56.84,Reisekosten Kundenbesuch
B00426,K500,A40,2026-03-13,764.67,Reisekosten Kundenbesuch
B00427,K500,A40,2026-04-15,139.59,Hotel Uebernachtung
B00428,K500,A40,2026-04-30,523.96,Bahnticket
B00429,K500,A40,2026-04-03,103.56,Bahnticket
B00430,K500,A40,2026-05-13,56.23,Hotel Uebernachtung
B00431,K500,A40,2026-05-03,69.7,Bahnticket
B00432,K500,A40,2026-05-28,647.43,Bahnticket
B00433,K500,A40,2026-06-03,761.41,Hotel Uebernachtung
B00434,K500,A40,2026-07-29,817.3,Bahnticket
B00435,K500,A40,2026-08-08,880.98,Reisekosten Kundenbesuch
B00436,K500,A40,2026-09-05,285.78,Hotel Uebernachtung
B00437,K500,A40,2026-09-03,17.88,Reisekosten Kundenbesuch
B00438,K500,A40,2026-09-25,408.4,Hotel Uebernachtung
B00439,K500,A40,2026-10-15,746.28,Hotel Uebernachtung
